Scale,county,species,mean_birds,Rank,%,check
County,Down,Grey heron,0.019,44,1.74,0
County,Down,Treecreeper,0.019,45,1.56,0
County,Down,Stock dove,0.016,46,0.87,0
County,Down,Raven,0.014,47,0.87,0
County,Down,Goldcrest,0.009,48,0.87,0
County,Down,Chiffchaff,0.007,49,0.69,0
County,Down,Kestrel,0.007,50,0.69,0
County,Down,Brambling,0.005,51,0.52,0
County,Down,Yellowhammer,0.005,52,0.35,0
County,Down,Marsh tit,0.003,53,0.17,0
County,Down,Nuthatch,0.003,53,0.17,0
County,Down,Lesser black backed gull,0.002,55,0.17,0
County,Down,Reed bunting,0.002,55,0.17,0
County,Down,Barn owl,0,57,0,
County,Down,Black redstart,0,57,0,
County,Down,Corn bunting,0,57,0,
County,Down,Great black backed gull,0,57,0.35,
County,Down,Great spotted woodpecker,0,57,0,
County,Down,Green woodpecker,0,57,0,
County,Down,Grey partridge,0,57,0,
County,Down,Lapwing,0,57,0.17,
County,Down,Lesser spotted woodpecker,0,57,0,
County,Down,Little owl,0,57,0,
County,Down,Meadow pipit,0,57,0,
County,Down,Red legged partridge,0,57,0,
County,Down,Ring necked parakeet,0,57,0,
County,Down,Skylark,0,57,0,
County,Down,Tawny owl,0,57,0,
County,Down,Waxwing,0,57,0,
County,Down,Willow tit,0,57,0.17,
County,Dumfries & Galloway,Chaffinch,9.789,1,91.23,0
County,Dumfries & Galloway,House Sparrow,7.418,2,79.77,0
County,Dumfries & Galloway,Blue Tit,3.615,3,86.46,0
County,Dumfries & Galloway,Starling,3.516,4,38.37,0
County,Dumfries & Galloway,Blackbird,3.168,5,93.58,0
County,Dumfries & Galloway,Great Tit,2.464,6,69.79,0
County,Dumfries & Galloway,Coal Tit,2.043,7,65.63,0
County,Dumfries & Galloway,Dunnock,1.583,8,63.45,0
County,Dumfries & Galloway,Robin,1.525,9,91.93,0
County,Dumfries & Galloway,Goldfinch,1.508,10,31.68,0
County,Dumfries & Galloway,Collared Dove,1.495,11,49.74,0
County,Dumfries & Galloway,Carrion crow,1.22,12,40.33,0
County,Dumfries & Galloway,Woodpigeon,1.131,13,41.58,0
County,Dumfries & Galloway,Greenfinch,1.116,14,34.11,0
County,Dumfries & Galloway,Jackdaw,1.033,15,24.97,0
County,Dumfries & Galloway,Long tailed tit,0.549,16,12.15,0
County,Dumfries & Galloway,Siskin,0.515,17,16.77,0
County,Dumfries & Galloway,Pheasant,0.396,18,17.29,0
County,Dumfries & Galloway,Tree sparrow,0.388,19,8.45,0
County,Dumfries & Galloway,Feral pigeon,0.366,20,12.04,0
County,Dumfries & Galloway,Nuthatch,0.346,21,24.2,0
County,Dumfries & Galloway,Common gull,0.345,22,6.02,0
County,Dumfries & Galloway,Wren,0.326,23,25.61,0
County,Dumfries & Galloway,Rook,0.325,24,8.19,0
County,Dumfries & Galloway,Great spotted woodpecker,0.312,25,23.3,0
County,Dumfries & Galloway,Yellowhammer,0.26,26,9.22,0
County,Dumfries & Galloway,Song Thrush,0.182,27,13.19,0
County,Dumfries & Galloway,Sparrowhawk,0.143,28,13.7,0
County,Dumfries & Galloway,Jay,0.128,29,7.3,0
County,Dumfries & Galloway,Bullfinch,0.105,30,4.99,0
County,Dumfries & Galloway,Buzzard,0.097,31,6.4,0
County,Dumfries & Galloway,Herring gull,0.092,32,2.69,0
County,Dumfries & Galloway,Black headed gull,0.069,33,1.92,0
County,Dumfries & Galloway,Treecreeper,0.063,34,5.76,0
County,Dumfries & Galloway,Reed bunting,0.062,35,3.33,0
County,Dumfries & Galloway,Pied wagtail,0.058,36,3.46,0
County,Dumfries & Galloway,Red legged partridge,0.056,37,2.3,0
County,Dumfries & Galloway,Magpie,0.054,38,3.04,0
County,Dumfries & Galloway,Brambling,0.041,39,2.69,0
County,Dumfries & Galloway,Mallard,0.041,40,1.02,0
County,Dumfries & Galloway,Grey heron,0.04,41,3.97,0
County,Dumfries & Galloway,Lesser spotted woodpecker,0.033,42,2.69,0
County,Dumfries & Galloway,Redpoll,0.028,43,1.28,0
County,Dumfries & Galloway,Hooded crow,0.023,44,1.41,0
County,Dumfries & Galloway,Moorhen,0.02,45,0.9,0
County,Dumfries & Galloway,Red Kite,0.02,45,1.15,0
County,Dumfries & Galloway,Kestrel,0.019,47,1.92,0
County,Dumfries & Galloway,Blackcap,0.013,48,1.28,0
County,Dumfries & Galloway,Fieldfare,0.012,49,0.64,0
County,Dumfries & Galloway,Mistle thrush,0.01,50,0.77,0
County,Dumfries & Galloway,Grey wagtail,0.009,51,0.77,0
County,Dumfries & Galloway,Redwing,0.009,51,0.51,0
County,Dumfries & Galloway,Goldcrest,0.009,53,0.64,0
County,Dumfries & Galloway,Green woodpecker,0.008,54,0.64,0
County,Dumfries & Galloway,Raven,0.006,55,1.28,1
County,Dumfries & Galloway,Stock dove,0.006,56,0.64,0
County,Dumfries & Galloway,Chiffchaff,0.005,57,0.26,0
County,Dumfries & Galloway,Linnet,0.005,57,0.51,0
County,Dumfries & Galloway,Barn owl,0.004,59,0.9,1
County,Dumfries & Galloway,Willow tit,0.004,60,0.51,1
County,Dumfries & Galloway,Marsh tit,0.004,61,0.26,0
County,Dumfries & Galloway,Tawny owl,0.001,62,0.51,1
County,Dumfries & Galloway,Lesser black backed gull,0.001,63,0.38,1
County,Dumfries & Galloway,Great black backed gull,0.001,64,0.13,0
County,Dumfries & Galloway,Black redstart,0,65,0,
County,Dumfries & Galloway,Corn bunting,0,65,0.13,
County,Dumfries & Galloway,Grey partridge,0,65,0.26,
County,Dumfries & Galloway,Lapwing,0,65,0.26,
County,Dumfries & Galloway,Little owl,0,65,0,
County,Dumfries & Galloway,Meadow pipit,0,65,0.13,
County,Dumfries & Galloway,Ring necked parakeet,0,65,0,
County,Dumfries & Galloway,Skylark,0,65,0,
County,Dumfries & Galloway,Waxwing,0,65,0,
County,Dundee City,House Sparrow,5.408,1,69.28,0
County,Dundee City,Blackbird,3.211,2,93.67,0
County,Dundee City,Starling,2.636,3,34.34,0
County,Dundee City,Blue Tit,2.331,4,78.92,0
County,Dundee City,Woodpigeon,2.018,5,70.48,0
County,Dundee City,Chaffinch,1.596,6,47.59,0
County,Dundee City,Feral pigeon,1.467,7,31.4,0
County,Dundee City,Robin,1.292,8,88.25,0
County,Dundee City,Goldfinch,1.163,9,25,0
County,Dundee City,Dunnock,1.133,10,52.11,0
County,Dundee City,Coal Tit,0.883,11,44.28,0
County,Dundee City,Great Tit,0.873,12,40.96,0
County,Dundee City,Carrion crow,0.682,13,32.56,0
County,Dundee City,Common gull,0.609,14,13.95,0
County,Dundee City,Collared Dove,0.602,15,26.81,0
County,Dundee City,Long tailed tit,0.572,16,12.35,0
County,Dundee City,Greenfinch,0.557,17,20.78,0
County,Dundee City,Wren,0.237,18,18.6,0
County,Dundee City,Herring gull,0.167,19,5.04,0
County,Dundee City,Bullfinch,0.132,20,5.81,0
County,Dundee City,Siskin,0.132,20,5.43,0
County,Dundee City,Tree sparrow,0.12,22,2.71,0
County,Dundee City,Song Thrush,0.109,23,8.14,0
County,Dundee City,Rook,0.078,24,2.71,0
County,Dundee City,Black headed gull,0.078,25,1.94,0
County,Dundee City,Great spotted woodpecker,0.058,26,5.04,0
County,Dundee City,Magpie,0.051,27,3.61,0
County,Dundee City,Blackcap,0.05,28,3.49,0
County,Dundee City,Sparrowhawk,0.047,29,4.65,0
County,Dundee City,Buzzard,0.043,30,3.1,0
County,Dundee City,Jackdaw,0.035,31,1.94,0
County,Dundee City,Redpoll,0.035,31,1.16,0
County,Dundee City,Redwing,0.027,33,1.16,0
County,Dundee City,Grey heron,0.023,34,2.33,0
County,Dundee City,Jay,0.023,34,1.94,0
County,Dundee City,Pied wagtail,0.019,36,1.94,0
County,Dundee City,Goldcrest,0.016,37,1.16,0
County,Dundee City,Grey wagtail,0.012,38,0.78,0
County,Dundee City,Hooded crow,0.012,38,0.78,0
County,Dundee City,Red Kite,0.012,38,1.16,0
County,Dundee City,Yellowhammer,0.012,38,0.39,0
County,Dundee City,Kestrel,0.008,42,0.78,0
County,Dundee City,Moorhen,0.008,42,0.39,0
County,Dundee City,Pheasant,0.008,42,0.78,0
County,Dundee City,Treecreeper,0.008,42,0.78,0
County,Dundee City,Willow tit,0.008,42,0.39,0
County,Dundee City,Lesser spotted woodpecker,0.004,47,0.39,0
County,Dundee City,Mistle thrush,0.004,47,0.39,0
County,Dundee City,Ring necked parakeet,0.004,47,0.39,0
County,Dundee City,Tawny owl,0.004,47,0.39,0
County,Dundee City,Barn owl,0,51,0,
County,Dundee City,Black redstart,0,51,0,
County,Dundee City,Brambling,0,51,0.39,
County,Dundee City,Chiffchaff,0,51,0,
County,Dundee City,Corn bunting,0,51,0,
County,Dundee City,Fieldfare,0,51,0,
County,Dundee City,Great black backed gull,0,51,0,
County,Dundee City,Green woodpecker,0,51,0,
County,Dundee City,Grey partridge,0,51,0,
County,Dundee City,Lapwing,0,51,0,
County,Dundee City,Lesser black backed gull,0,51,0,
County,Dundee City,Linnet,0,51,0,
County,Dundee City,Little owl,0,51,0,
County,Dundee City,Mallard,0,51,0,
County,Dundee City,Marsh tit,0,51,0,
County,Dundee City,Meadow pipit,0,51,0,
County,Dundee City,Nuthatch,0,51,0,
County,Dundee City,Raven,0,51,0,
County,Dundee City,Red legged partridge,0,51,0,
County,Dundee City,Reed bunting,0,51,0,
County,Dundee City,Skylark,0,51,0,
County,Dundee City,Stock dove,0,51,0,
County,Dundee City,Waxwing,0,51,0,
County,East Ayrshire,House Sparrow,7.135,1,81.43,0
County,East Ayrshire,Chaffinch,6.365,2,79.84,0
County,East Ayrshire,Starling,5.533,3,57.82,0
County,East Ayrshire,Blue Tit,3.029,4,82.23,0
County,East Ayrshire,Blackbird,2.66,5,94.16,0
County,East Ayrshire,Great Tit,1.872,6,60.74,0
County,East Ayrshire,Jackdaw,1.482,7,31.65,0
County,East Ayrshire,Robin,1.347,8,90.45,0
County,East Ayrshire,Coal Tit,1.306,9,56.23,0
County,East Ayrshire,Collared Dove,1.281,10,50.66,0
County,East Ayrshire,Goldfinch,1.104,11,23.87,0
County,East Ayrshire,Dunnock,1.082,12,49.34,0
County,East Ayrshire,Carrion crow,0.968,13,32.01,0
County,East Ayrshire,Feral pigeon,0.863,14,21.94,0
County,East Ayrshire,Greenfinch,0.835,15,29.97,0
County,East Ayrshire,Magpie,0.832,16,41.11,0
County,East Ayrshire,Woodpigeon,0.737,17,27.59,0
County,East Ayrshire,Siskin,0.542,18,15.83,0
County,East Ayrshire,Long tailed tit,0.529,19,11.94,0
County,East Ayrshire,Common gull,0.306,20,5.4,0
County,East Ayrshire,Rook,0.259,21,3.96,0
County,East Ayrshire,Song Thrush,0.256,22,15.47,0
County,East Ayrshire,Wren,0.206,23,15.47,0
County,East Ayrshire,Great spotted woodpecker,0.184,24,14.39,0
County,East Ayrshire,Pheasant,0.169,25,7.19,0
County,East Ayrshire,Tree sparrow,0.165,26,3.24,0
County,East Ayrshire,Bullfinch,0.122,27,6.83,0
County,East Ayrshire,Mallard,0.108,28,0.72,0
County,East Ayrshire,Sparrowhawk,0.097,29,9.35,0
County,East Ayrshire,Fieldfare,0.094,30,1.44,0
County,East Ayrshire,Buzzard,0.09,31,5.4,0
County,East Ayrshire,Yellowhammer,0.083,32,3.24,0
County,East Ayrshire,Grey heron,0.054,33,4.32,0
County,East Ayrshire,Reed bunting,0.047,34,1.8,0
County,East Ayrshire,Pied wagtail,0.043,35,2.16,0
County,East Ayrshire,Redpoll,0.043,35,1.44,0
County,East Ayrshire,Brambling,0.033,37,3.24,0
County,East Ayrshire,Nuthatch,0.025,38,1.8,0
County,East Ayrshire,Hooded crow,0.022,39,1.8,0
County,East Ayrshire,Blackcap,0.022,40,1.8,0
County,East Ayrshire,Linnet,0.022,40,1.08,0
County,East Ayrshire,Kestrel,0.018,42,2.88,1
County,East Ayrshire,Black headed gull,0.018,43,0.72,0
County,East Ayrshire,Herring gull,0.018,43,0.72,0
County,East Ayrshire,Treecreeper,0.018,43,1.44,0
County,East Ayrshire,Jay,0.011,46,1.08,0
County,East Ayrshire,Red Kite,0.011,47,1.08,0
County,East Ayrshire,Stock dove,0.011,47,0.72,0
County,East Ayrshire,Tawny owl,0.007,49,1.08,1
County,East Ayrshire,Grey wagtail,0.007,50,0.72,0
County,East Ayrshire,Lesser spotted woodpecker,0.007,50,0.72,0
County,East Ayrshire,Barn owl,0.004,52,0.72,1
County,East Ayrshire,Black redstart,0.004,53,0.36,0
County,East Ayrshire,Marsh tit,0.004,53,0.36,0
County,East Ayrshire,Mistle thrush,0.004,53,0.36,0
County,East Ayrshire,Redwing,0.004,53,0.36,0
County,East Ayrshire,Waxwing,0.004,53,0.36,0
County,East Ayrshire,Chiffchaff,0,58,0,
County,East Ayrshire,Corn bunting,0,58,0,
County,East Ayrshire,Goldcrest,0,58,0,
County,East Ayrshire,Great black backed gull,0,58,0,
County,East Ayrshire,Green woodpecker,0,58,0,
County,East Ayrshire,Grey partridge,0,58,0.36,
County,East Ayrshire,Lapwing,0,58,0,
County,East Ayrshire,Lesser black backed gull,0,58,0,
County,East Ayrshire,Little owl,0,58,0,
County,East Ayrshire,Meadow pipit,0,58,0,
County,East Ayrshire,Moorhen,0,58,0.36,
County,East Ayrshire,Raven,0,58,0.36,
County,East Ayrshire,Red legged partridge,0,58,0,
County,East Ayrshire,Ring necked parakeet,0,58,0,
County,East Ayrshire,Skylark,0,58,0,
County,East Ayrshire,Willow tit,0,58,0,
County,East Dunbartonshire,Blue Tit,2.675,1,84.82,0
County,East Dunbartonshire,Woodpigeon,2.65,2,84.11,0
County,East Dunbartonshire,House Sparrow,2.564,3,54.11,0
County,East Dunbartonshire,Chaffinch,2.508,4,60.71,0
County,East Dunbartonshire,Starling,2.332,5,40.18,0
County,East Dunbartonshire,Blackbird,2.27,6,88.75,0
County,East Dunbartonshire,Magpie,1.518,7,66.25,0
County,East Dunbartonshire,Great Tit,1.429,8,59.29,0
County,East Dunbartonshire,Robin,1.284,9,87.5,0
County,East Dunbartonshire,Feral pigeon,1.261,10,28.27,0
County,East Dunbartonshire,Coal Tit,1.114,11,52.86,0
County,East Dunbartonshire,Dunnock,1.009,12,50.89,0
County,East Dunbartonshire,Carrion crow,0.857,13,32.3,0
County,East Dunbartonshire,Long tailed tit,0.835,14,17.32,0
County,East Dunbartonshire,Jackdaw,0.752,15,25.18,0
County,East Dunbartonshire,Greenfinch,0.668,16,22.68,0
County,East Dunbartonshire,Goldfinch,0.638,17,16.07,0
County,East Dunbartonshire,Collared Dove,0.414,18,19.64,0
County,East Dunbartonshire,Siskin,0.383,19,13.78,0
County,East Dunbartonshire,Bullfinch,0.2,20,10.21,0
County,East Dunbartonshire,Rook,0.15,21,5.23,0
County,East Dunbartonshire,Wren,0.15,21,11.88,0
County,East Dunbartonshire,Song Thrush,0.112,23,9.03,0
County,East Dunbartonshire,Redpoll,0.105,24,2.61,0
County,East Dunbartonshire,Pheasant,0.102,25,4.51,0
County,East Dunbartonshire,Common gull,0.1,26,4.04,0
County,East Dunbartonshire,Great spotted woodpecker,0.078,27,7.36,0
County,East Dunbartonshire,Reed bunting,0.064,28,2.38,0
County,East Dunbartonshire,Tree sparrow,0.048,29,1.43,0
County,East Dunbartonshire,Buzzard,0.031,30,2.14,0
County,East Dunbartonshire,Hooded crow,0.031,30,1.9,0
County,East Dunbartonshire,Brambling,0.029,32,1.9,0
County,East Dunbartonshire,Mallard,0.029,32,0.24,0
County,East Dunbartonshire,Red Kite,0.029,32,1.43,0
County,East Dunbartonshire,Yellowhammer,0.026,35,1.19,0
County,East Dunbartonshire,Sparrowhawk,0.026,36,2.61,0
County,East Dunbartonshire,Herring gull,0.021,37,1.19,0
County,East Dunbartonshire,Mistle thrush,0.019,38,1.66,0
County,East Dunbartonshire,Treecreeper,0.019,39,1.66,0
County,East Dunbartonshire,Goldcrest,0.017,40,1.66,0
County,East Dunbartonshire,Black headed gull,0.014,41,0.48,0
County,East Dunbartonshire,Grey heron,0.014,41,1.19,0
County,East Dunbartonshire,Moorhen,0.014,41,0.71,0
County,East Dunbartonshire,Stock dove,0.014,41,0.71,0
County,East Dunbartonshire,Jay,0.012,45,0.71,0
County,East Dunbartonshire,Fieldfare,0.01,46,0.95,0
County,East Dunbartonshire,Kestrel,0.01,46,0.95,0
County,East Dunbartonshire,Linnet,0.007,48,0.48,0
County,East Dunbartonshire,Raven,0.005,49,0.48,0
County,East Dunbartonshire,Blackcap,0.002,50,0.24,0
County,East Dunbartonshire,Grey wagtail,0.002,50,0.24,0
County,East Dunbartonshire,Lesser spotted woodpecker,0.002,50,0.24,0
County,East Dunbartonshire,Barn owl,0,53,0,
County,East Dunbartonshire,Black redstart,0,53,0,
County,East Dunbartonshire,Chiffchaff,0,53,0,
County,East Dunbartonshire,Corn bunting,0,53,0,
County,East Dunbartonshire,Great black backed gull,0,53,0,
County,East Dunbartonshire,Green woodpecker,0,53,0,
County,East Dunbartonshire,Grey partridge,0,53,0,
County,East Dunbartonshire,Lapwing,0,53,0,
County,East Dunbartonshire,Lesser black backed gull,0,53,0,
County,East Dunbartonshire,Little owl,0,53,0,
County,East Dunbartonshire,Marsh tit,0,53,0,
County,East Dunbartonshire,Meadow pipit,0,53,0,
County,East Dunbartonshire,Nuthatch,0,53,0,
County,East Dunbartonshire,Pied wagtail,0,53,0,
County,East Dunbartonshire,Red legged partridge,0,53,0,
County,East Dunbartonshire,Redwing,0,53,0,
County,East Dunbartonshire,Ring necked parakeet,0,53,0,
County,East Dunbartonshire,Skylark,0,53,0.24,
County,East Dunbartonshire,Tawny owl,0,53,0,
County,East Dunbartonshire,Waxwing,0,53,0,
County,East Dunbartonshire,Willow tit,0,53,0,
County,East Lothian,House Sparrow,7.528,1,79.32,0
County,East Lothian,Starling,3.315,2,45.5,0
County,East Lothian,Chaffinch,3.249,3,66.37,0
County,East Lothian,Blue Tit,3.076,4,86.69,0
County,East Lothian,Blackbird,3.02,5,93.53,0
County,East Lothian,Woodpigeon,1.8,6,68.71,0
County,East Lothian,Goldfinch,1.617,7,32.37,0
County,East Lothian,Great Tit,1.366,8,53.6,0
County,East Lothian,Robin,1.342,9,88.49,0
County,East Lothian,Coal Tit,1.189,10,55.4,0
County,East Lothian,Dunnock,1.171,11,55.76,0
County,East Lothian,Collared Dove,1.11,12,46.22,0
County,East Lothian,Feral pigeon,1.036,13,20.76,0
County,East Lothian,Greenfinch,0.899,14,31.47,0
County,East Lothian,Tree sparrow,0.73,15,13.92,0
County,East Lothian,Magpie,0.663,16,34.89,0
County,East Lothian,Long tailed tit,0.637,17,15.47,0
County,East Lothian,Carrion crow,0.628,18,26.84,0
County,East Lothian,Jackdaw,0.627,19,19.49,0
County,East Lothian,Wren,0.306,20,22.53,0
County,East Lothian,Pheasant,0.296,21,13.67,0
County,East Lothian,Siskin,0.274,22,8.86,0
County,East Lothian,Common gull,0.235,23,8.1,0
County,East Lothian,Herring gull,0.178,24,7.09,0
County,East Lothian,Great spotted woodpecker,0.175,25,15.7,0
County,East Lothian,Song Thrush,0.175,26,11.65,0
County,East Lothian,Rook,0.139,27,3.8,0
County,East Lothian,Bullfinch,0.096,28,5.82,0
County,East Lothian,Sparrowhawk,0.094,29,9.11,0
County,East Lothian,Yellowhammer,0.076,30,3.04,0
County,East Lothian,Red Kite,0.061,31,1.77,0
County,East Lothian,Blackcap,0.056,32,4.3,0
County,East Lothian,Buzzard,0.053,33,3.29,0
County,East Lothian,Pied wagtail,0.043,34,2.28,0
County,East Lothian,Fieldfare,0.041,35,1.01,0
County,East Lothian,Nuthatch,0.038,36,2.53,0
County,East Lothian,Black headed gull,0.035,37,1.52,0
County,East Lothian,Treecreeper,0.03,38,2.28,0
County,East Lothian,Hooded crow,0.028,39,1.52,0
County,East Lothian,Lesser spotted woodpecker,0.02,40,1.77,0
County,East Lothian,Moorhen,0.018,41,1.01,0
County,East Lothian,Mistle thrush,0.015,42,1.77,1
County,East Lothian,Stock dove,0.015,43,0.76,0
County,East Lothian,Kestrel,0.015,44,1.52,0
County,East Lothian,Redwing,0.015,44,0.51,0
County,East Lothian,Brambling,0.013,46,0.51,0
County,East Lothian,Grey heron,0.013,46,1.01,0
County,East Lothian,Jay,0.013,46,1.01,0
County,East Lothian,Grey wagtail,0.01,49,0.51,0
County,East Lothian,Barn owl,0.005,50,0.51,0
County,East Lothian,Goldcrest,0.005,50,0.51,0
County,East Lothian,Linnet,0.005,50,0.25,0
County,East Lothian,Mallard,0.005,50,0.25,0
County,East Lothian,Red legged partridge,0.005,50,0.25,0
County,East Lothian,Redpoll,0.005,50,0.25,0
County,East Lothian,Reed bunting,0.005,50,0.51,0
County,East Lothian,Green woodpecker,0.003,57,0.25,0
County,East Lothian,Little owl,0.003,57,0.25,0
County,East Lothian,Raven,0.003,57,0.25,0
County,East Lothian,Black redstart,0,60,0,
County,East Lothian,Chiffchaff,0,60,0,
County,East Lothian,Corn bunting,0,60,0.25,
County,East Lothian,Great black backed gull,0,60,0,
County,East Lothian,Grey partridge,0,60,0,
County,East Lothian,Lapwing,0,60,0,
County,East Lothian,Lesser black backed gull,0,60,0.25,
County,East Lothian,Marsh tit,0,60,0,
County,East Lothian,Meadow pipit,0,60,0,
County,East Lothian,Ring necked parakeet,0,60,0,
County,East Lothian,Skylark,0,60,0,
County,East Lothian,Tawny owl,0,60,0,
County,East Lothian,Waxwing,0,60,0,
County,East Lothian,Willow tit,0,60,0,
County,East Renfrewshire,Starling,3.174,1,48.39,0
County,East Renfrewshire,House Sparrow,2.945,2,57.32,0
County,East Renfrewshire,Chaffinch,2.501,3,56.08,0
County,East Renfrewshire,Blue Tit,2.413,4,81.64,0
County,East Renfrewshire,Blackbird,2.261,5,88.59,0
County,East Renfrewshire,Woodpigeon,1.705,6,70.97,0
County,East Renfrewshire,Feral pigeon,1.585,7,33.78,0
County,East Renfrewshire,Magpie,1.425,8,67.74,0
County,East Renfrewshire,Carrion crow,1.265,9,34.11,0
County,East Renfrewshire,Robin,1.209,10,85.86,0
County,East Renfrewshire,Jackdaw,1.201,11,34.78,0
County,East Renfrewshire,Great Tit,1.107,12,52.36,0
County,East Renfrewshire,Coal Tit,1.002,13,49.13,0
County,East Renfrewshire,Dunnock,0.871,14,46.15,0
County,East Renfrewshire,Goldfinch,0.762,15,17.62,0
County,East Renfrewshire,Greenfinch,0.613,16,23.33,0
County,East Renfrewshire,Collared Dove,0.6,17,31.27,0
County,East Renfrewshire,Long tailed tit,0.486,18,10.67,0
County,East Renfrewshire,Siskin,0.359,19,10.7,0
County,East Renfrewshire,Common gull,0.298,20,5.02,0
County,East Renfrewshire,Bullfinch,0.242,21,13.38,0
County,East Renfrewshire,Wren,0.151,22,11.37,0
County,East Renfrewshire,Song Thrush,0.114,23,9.36,0
County,East Renfrewshire,Great spotted woodpecker,0.097,24,8.7,0
County,East Renfrewshire,Rook,0.06,25,3.34,0
County,East Renfrewshire,Tree sparrow,0.057,26,2.34,0
County,East Renfrewshire,Redpoll,0.054,27,2.68,0
County,East Renfrewshire,Mallard,0.037,28,0.67,0
County,East Renfrewshire,Pheasant,0.037,28,2.01,0
County,East Renfrewshire,Reed bunting,0.037,28,1.34,0
County,East Renfrewshire,Black headed gull,0.033,31,1.34,0
County,East Renfrewshire,Sparrowhawk,0.033,31,3.34,0
County,East Renfrewshire,Red Kite,0.027,33,0.67,0
County,East Renfrewshire,Brambling,0.02,34,1.67,0
County,East Renfrewshire,Mistle thrush,0.02,35,1.67,0
County,East Renfrewshire,Goldcrest,0.02,36,1.34,0
County,East Renfrewshire,Yellowhammer,0.017,37,0.67,0
County,East Renfrewshire,Pied wagtail,0.017,38,0.67,0
County,East Renfrewshire,Raven,0.013,39,1.34,0
County,East Renfrewshire,Treecreeper,0.013,40,1.34,0
County,East Renfrewshire,Buzzard,0.01,41,1,0
County,East Renfrewshire,Fieldfare,0.01,41,1,0
County,East Renfrewshire,Herring gull,0.01,41,0.67,0
County,East Renfrewshire,Nuthatch,0.01,41,0.67,0
County,East Renfrewshire,Chiffchaff,0.007,45,0.67,0
County,East Renfrewshire,Grey heron,0.007,46,0.67,0
County,East Renfrewshire,Linnet,0.007,46,0.33,0
County,East Renfrewshire,Barn owl,0.003,48,0.33,0
County,East Renfrewshire,Blackcap,0.003,48,0.33,0
County,East Renfrewshire,Kestrel,0.003,48,0.33,0
County,East Renfrewshire,Lesser spotted woodpecker,0.003,48,0.33,0
County,East Renfrewshire,Tawny owl,0.003,48,0.33,0
County,East Renfrewshire,Black redstart,0,53,0,
County,East Renfrewshire,Corn bunting,0,53,0,
County,East Renfrewshire,Great black backed gull,0,53,0,
County,East Renfrewshire,Green woodpecker,0,53,0,
County,East Renfrewshire,Grey partridge,0,53,0,
County,East Renfrewshire,Grey wagtail,0,53,0,
County,East Renfrewshire,Hooded crow,0,53,0,
County,East Renfrewshire,Jay,0,53,0,
County,East Renfrewshire,Lapwing,0,53,0,
County,East Renfrewshire,Lesser black backed gull,0,53,0,
County,East Renfrewshire,Little owl,0,53,0,
County,East Renfrewshire,Marsh tit,0,53,0,
County,East Renfrewshire,Meadow pipit,0,53,0,
County,East Renfrewshire,Moorhen,0,53,0,
County,East Renfrewshire,Red legged partridge,0,53,0,
County,East Renfrewshire,Redwing,0,53,0,
County,East Renfrewshire,Ring necked parakeet,0,53,0,
County,East Renfrewshire,Skylark,0,53,0,
County,East Renfrewshire,Stock dove,0,53,0,
County,East Renfrewshire,Waxwing,0,53,0,
County,East Renfrewshire,Willow tit,0,53,0,
County,East Sussex,House Sparrow,4.084,1,61.31,0
County,East Sussex,Blue Tit,3.483,2,85.18,0
County,East Sussex,Starling,2.938,3,42.03,0
County,East Sussex,Woodpigeon,1.863,4,66.46,0
County,East Sussex,Blackbird,1.824,5,82.43,0
County,East Sussex,Chaffinch,1.606,6,47.88,0
County,East Sussex,Great Tit,1.596,7,57.13,0
County,East Sussex,Robin,1.305,8,82,0
County,East Sussex,Collared Dove,1.278,9,53.49,0
County,East Sussex,Magpie,1.172,10,55.5,0
County,East Sussex,Goldfinch,1.008,11,23.53,0
County,East Sussex,Dunnock,0.886,12,46.3,0
County,East Sussex,Feral pigeon,0.857,13,21.17,0
County,East Sussex,Jackdaw,0.838,14,21.05,0
County,East Sussex,Carrion crow,0.721,15,29.57,0
County,East Sussex,Greenfinch,0.71,16,23.94,0
County,East Sussex,Long tailed tit,0.618,17,19.39,0
County,East Sussex,Coal Tit,0.461,18,25.06,0
County,East Sussex,Common gull,0.389,19,8.77,0
County,East Sussex,Wren,0.322,20,27.58,0
County,East Sussex,Herring gull,0.288,21,11.01,0
County,East Sussex,Nuthatch,0.277,22,19.44,0
County,East Sussex,Great spotted woodpecker,0.242,23,19.34,0
County,East Sussex,Song Thrush,0.221,24,17.96,0
County,East Sussex,Pheasant,0.198,25,9.47,0
County,East Sussex,Rook,0.154,26,3.41,0
County,East Sussex,Pied wagtail,0.121,27,8.55,0
County,East Sussex,Jay,0.116,28,8.17,0
County,East Sussex,Bullfinch,0.1,29,5.84,0
County,East Sussex,Tree sparrow,0.085,30,1.7,0
County,East Sussex,Mallard,0.068,31,1.58,0
County,East Sussex,Moorhen,0.055,32,2.84,0
County,East Sussex,Green woodpecker,0.051,33,4.73,0
County,East Sussex,Fieldfare,0.048,34,1.29,0
County,East Sussex,Black headed gull,0.045,35,1.67,0
County,East Sussex,Redwing,0.044,36,1.51,0
County,East Sussex,Sparrowhawk,0.043,37,4.29,0
County,East Sussex,Marsh tit,0.041,38,3.09,0
County,East Sussex,Siskin,0.04,39,1.7,0
County,East Sussex,Goldcrest,0.031,40,2.59,0
County,East Sussex,Blackcap,0.027,41,2.05,0
County,East Sussex,Red Kite,0.027,42,1.2,0
