Scale,county,species,mean_birds,Rank,%,check
Country,N Ire,Black redstart,0,61,0,
Country,N Ire,Corn bunting,0,61,0,
Country,N Ire,Green woodpecker,0,61,0,
Country,N Ire,Grey partridge,0,61,0,
Country,N Ire,Lapwing,0,61,0.11,
Country,N Ire,Lesser spotted woodpecker,0,61,0,
Country,N Ire,Little owl,0,61,0,
Country,N Ire,Meadow pipit,0,61,0.06,
Country,N Ire,Red legged partridge,0,61,0,
Country,N Ire,Ring necked parakeet,0,61,0,
Country,N Ire,Skylark,0,61,0.06,
Country,N Ire,Tawny owl,0,61,0,
Country,N Ire,Waxwing,0,61,0.06,
Country,Scotland,House Sparrow,5.589,1,70.36,0
Country,Scotland,Chaffinch,4.734,2,70.03,0
Country,Scotland,Starling,3.655,3,43.22,0
Country,Scotland,Blue Tit,3.034,4,81.52,0
Country,Scotland,Blackbird,2.928,5,91.68,0
Country,Scotland,Great Tit,1.651,6,58.6,0
Country,Scotland,Woodpigeon,1.462,7,53.9,0
Country,Scotland,Coal Tit,1.432,8,55.12,0
Country,Scotland,Robin,1.41,9,88.88,0
Country,Scotland,Goldfinch,1.292,10,26.62,0
Country,Scotland,Dunnock,1.124,11,51.88,0
Country,Scotland,Feral pigeon,1.054,12,22.95,0
Country,Scotland,Greenfinch,1.031,13,31.24,0
Country,Scotland,Carrion crow,0.926,14,31.92,0
Country,Scotland,Collared Dove,0.922,15,36.25,0
Country,Scotland,Magpie,0.758,16,33.9,0
Country,Scotland,Jackdaw,0.707,17,19.96,0
Country,Scotland,Long tailed tit,0.64,18,13.65,0
Country,Scotland,Siskin,0.459,19,14.4,0
Country,Scotland,Tree sparrow,0.332,20,6.79,0
Country,Scotland,Common gull,0.301,21,6.64,0
Country,Scotland,Pheasant,0.233,22,10.02,0
Country,Scotland,Wren,0.225,23,17.33,0
Country,Scotland,Rook,0.211,24,5.22,0
Country,Scotland,Great spotted woodpecker,0.18,25,14.21,0
Country,Scotland,Bullfinch,0.157,26,7.52,0
Country,Scotland,Song Thrush,0.146,27,10.46,0
Country,Scotland,Yellowhammer,0.113,28,4.71,0
Country,Scotland,Herring gull,0.099,29,3.79,0
