2014,county,species,mean_birds,rank_birds,% gardens,
SWSRO,Argyll and Bute,Sparrowhawk,0.052,32,5.2,
SWSRO,Argyll and Bute,Treecreeper,0.035,33,3.47,
SWSRO,Argyll and Bute,Common gull,0.032,34,0.99,
SWSRO,Argyll and Bute,Fieldfare,0.03,35,0.25,
SWSRO,Argyll and Bute,Tree sparrow,0.025,36,0.74,
SWSRO,Argyll and Bute,Grey heron,0.02,37,1.98,
SWSRO,Argyll and Bute,Mallard,0.015,38,0.25,
SWSRO,Argyll and Bute,Lesser spotted woodpecker,0.01,39,0.99,
SWSRO,Argyll and Bute,Great black backed gull,0.007,40,0.5,
SWSRO,Argyll and Bute,Kestrel,0.007,41,0.74,
SWSRO,Argyll and Bute,Raven,0.007,42,0.74,
SWSRO,Argyll and Bute,Blackcap,0.005,43,0.5,
SWSRO,Argyll and Bute,Brambling,0.005,44,0.5,
SWSRO,Argyll and Bute,Goldcrest,0.005,45,0.5,
SWSRO,Argyll and Bute,Nuthatch,0.005,46,0.25,
SWSRO,Argyll and Bute,Red legged partridge,0.005,47,0.25,
SWSRO,Argyll and Bute,Reed bunting,0.005,48,0.5,
SWSRO,Argyll and Bute,Barn owl,0.002,49,0.25,
SWSRO,Argyll and Bute,Black headed gull,0.002,50,0.25,
SWSRO,Argyll and Bute,Moorhen,0.002,51,0.25,
SWSRO,Argyll and Bute,Tawny owl,0.002,52,0.25,
SWSRO,Argyll and Bute,Black redstart,0,53,0,
SWSRO,Argyll and Bute,Chiffchaff,0,54,0,
SWSRO,Argyll and Bute,Corn bunting,0,55,0,
SWSRO,Argyll and Bute,Green woodpecker,0,56,0,
SWSRO,Argyll and Bute,Grey partridge,0,57,0,
SWSRO,Argyll and Bute,Grey wagtail,0,58,0,
SWSRO,Argyll and Bute,Lapwing,0,59,0,
SWSRO,Argyll and Bute,Lesser black backed gull,0,60,0,
SWSRO,Argyll and Bute,Linnet,0,61,0,
SWSRO,Argyll and Bute,Little owl,0,62,0,
SWSRO,Argyll and Bute,Marsh tit,0,63,0,
SWSRO,Argyll and Bute,Meadow pipit,0,64,0,
SWSRO,Argyll and Bute,Mistle thrush,0,65,0,
SWSRO,Argyll and Bute,Pied wagtail,0,66,0,
SWSRO,Argyll and Bute,Red Kite,0,67,0,
SWSRO,Argyll and Bute,Redwing,0,68,0,
SWSRO,Argyll and Bute,Ring necked parakeet,0,69,0,
SWSRO,Argyll and Bute,Skylark,0,70,0,
SWSRO,Argyll and Bute,Stock dove,0,71,0,
SWSRO,Argyll and Bute,Waxwing,0,72,0,
SWSRO,Argyll and Bute,Willow tit,0,73,0,
NIRO,Armagh,House sparrow,5.374,1,71.66,
NIRO,Armagh,Starling,4.925,2,57.22,
NIRO,Armagh,Chaffinch,4.615,3,77.54,
NIRO,Armagh,Blue tit,2.545,4,77.01,
NIRO,Armagh,Goldfinch,2.412,5,37.43,
NIRO,Armagh,Blackbird,2.241,6,84.49,
NIRO,Armagh,Great tit,2.032,7,65.78,
NIRO,Armagh,Robin,1.444,8,84.49,
NIRO,Armagh,Collared dove,1.364,9,47.59,
NIRO,Armagh,Magpie,1.257,10,59.36,
NIRO,Armagh,Hooded crow,1.155,11,24.27,
NIRO,Armagh,Coal tit,1.139,12,45.45,
NIRO,Armagh,Jackdaw,0.786,13,23.3,
NIRO,Armagh,Woodpigeon,0.733,14,30.48,
NIRO,Armagh,Long tailed tit,0.706,15,16.58,
NIRO,Armagh,Greenfinch,0.679,16,24.6,
NIRO,Armagh,Feral pigeon,0.544,17,16.5,
NIRO,Armagh,Dunnock,0.519,18,30.48,
NIRO,Armagh,Song thrush,0.33,19,23.3,
NIRO,Armagh,Redpoll,0.311,20,9.71,
NIRO,Armagh,Wren,0.311,21,26.21,
NIRO,Armagh,Rook,0.223,22,7.77,
NIRO,Armagh,Pied wagtail,0.184,23,9.71,
NIRO,Armagh,Tree sparrow,0.175,24,3.88,
NIRO,Armagh,Black headed gull,0.078,25,0.97,
NIRO,Armagh,Common gull,0.058,26,1.94,
NIRO,Armagh,Siskin,0.049,27,4.85,
NIRO,Armagh,Pheasant,0.039,28,2.91,
NIRO,Armagh,Bullfinch,0.029,29,1.94,
NIRO,Armagh,Mistle thrush,0.029,30,2.91,
NIRO,Armagh,Buzzard,0.019,31,1.94,
NIRO,Armagh,Jay,0.019,32,1.94,
NIRO,Armagh,Blackcap,0.01,33,0.97,
NIRO,Armagh,Grey wagtail,0.01,34,0.97,
NIRO,Armagh,Sparrowhawk,0.01,35,0.97,
NIRO,Armagh,Treecreeper,0.01,36,0.97,
NIRO,Armagh,Yellowhammer,0.01,37,0.97,
NIRO,Armagh,Barn owl,0,38,0,
NIRO,Armagh,Black redstart,0,39,0,
NIRO,Armagh,Brambling,0,40,0,
NIRO,Armagh,Carrion crow,0,41,0,
NIRO,Armagh,Chiffchaff,0,42,0,
NIRO,Armagh,Corn bunting,0,43,0,
NIRO,Armagh,Fieldfare,0,44,0,
NIRO,Armagh,Goldcrest,0,45,0,
NIRO,Armagh,Great black backed gull,0,46,0,
NIRO,Armagh,Great spotted woodpecker,0,47,0,
NIRO,Armagh,Green woodpecker,0,48,0,
NIRO,Armagh,Grey heron,0,49,0,
NIRO,Armagh,Grey partridge,0,50,0,
NIRO,Armagh,Herring gull,0,51,0,
NIRO,Armagh,Kestrel,0,52,0,
NIRO,Armagh,Lapwing,0,53,0,
NIRO,Armagh,Lesser black backed gull,0,54,0,
NIRO,Armagh,Lesser spotted woodpecker,0,55,0,
NIRO,Armagh,Linnet,0,56,0,
NIRO,Armagh,Little owl,0,57,0,
NIRO,Armagh,Mallard,0,58,0,
NIRO,Armagh,Marsh tit,0,59,0,
NIRO,Armagh,Meadow pipit,0,60,0,
NIRO,Armagh,Moorhen,0,61,0,
NIRO,Armagh,Nuthatch,0,62,0,
NIRO,Armagh,Raven,0,63,0,
NIRO,Armagh,Red Kite,0,64,0,
NIRO,Armagh,Red legged partridge,0,65,0,
NIRO,Armagh,Redwing,0,66,0,
NIRO,Armagh,Reed bunting,0,67,0,
NIRO,Armagh,Ring necked parakeet,0,68,0,
NIRO,Armagh,Skylark,0,69,0,
NIRO,Armagh,Stock dove,0,70,0,
NIRO,Armagh,Tawny owl,0,71,0,
NIRO,Armagh,Waxwing,0,72,0,
NIRO,Armagh,Willow tit,0,73,0,
EERO,Bedfordshire,House sparrow,3.422,1,54.73,
EERO,Bedfordshire,Starling,2.838,2,40.49,
EERO,Bedfordshire,Blue tit,2.058,3,69.9,
EERO,Bedfordshire,Blackbird,1.953,4,80.88,
EERO,Bedfordshire,Woodpigeon,1.784,5,66.22,
EERO,Bedfordshire,Goldfinch,1.461,6,30.71,
EERO,Bedfordshire,Collared dove,1.453,7,54.67,
EERO,Bedfordshire,Chaffinch,1.164,8,38.27,
EERO,Bedfordshire,Great tit,1.036,9,45.08,
EERO,Bedfordshire,Robin,0.994,10,67.33,
EERO,Bedfordshire,Dunnock,0.784,11,42.67,
EERO,Bedfordshire,Magpie,0.726,12,39.28,
EERO,Bedfordshire,Greenfinch,0.562,13,19.15,
EERO,Bedfordshire,Long tailed tit,0.54,14,15.1,
EERO,Bedfordshire,Feral pigeon,0.506,15,14.11,
EERO,Bedfordshire,Jackdaw,0.459,16,12.94,
EERO,Bedfordshire,Carrion crow,0.318,17,13.88,
EERO,Bedfordshire,Coal tit,0.264,18,15.8,
EERO,Bedfordshire,Wren,0.123,19,11.21,
EERO,Bedfordshire,Pheasant,0.106,20,4.35,
EERO,Bedfordshire,Great spotted woodpecker,0.093,21,7.76,
EERO,Bedfordshire,Song thrush,0.074,22,6.59,
EERO,Bedfordshire,Common gull,0.04,23,1.03,
EERO,Bedfordshire,Bullfinch,0.036,24,1.54,
EERO,Bedfordshire,Rook,0.035,25,1.36,
EERO,Bedfordshire,Nuthatch,0.03,26,2.2,
EERO,Bedfordshire,Fieldfare,0.025,27,0.61,
EERO,Bedfordshire,Black headed gull,0.025,28,0.7,
EERO,Bedfordshire,Mallard,0.022,29,0.61,
EERO,Bedfordshire,Blackcap,0.021,30,1.96,
EERO,Bedfordshire,Green woodpecker,0.02,31,1.78,
EERO,Bedfordshire,Pied wagtail,0.019,32,1.36,
EERO,Bedfordshire,Reed bunting,0.019,33,1.07,
EERO,Bedfordshire,Sparrowhawk,0.017,34,1.68,
EERO,Bedfordshire,Redpoll,0.016,35,0.84,
EERO,Bedfordshire,Redwing,0.016,36,0.51,
EERO,Bedfordshire,Jay,0.016,37,1.17,
EERO,Bedfordshire,Moorhen,0.014,38,0.79,
EERO,Bedfordshire,Tree sparrow,0.012,39,0.47,
EERO,Bedfordshire,Red Kite,0.011,40,0.98,
EERO,Bedfordshire,Yellowhammer,0.01,41,0.42,
EERO,Bedfordshire,Siskin,0.009,42,0.56,
EERO,Bedfordshire,Lesser spotted woodpecker,0.008,43,0.7,
EERO,Bedfordshire,Stock dove,0.007,44,0.37,
EERO,Bedfordshire,Goldcrest,0.007,45,0.56,
EERO,Bedfordshire,Buzzard,0.006,46,0.42,
EERO,Bedfordshire,Treecreeper,0.004,47,0.42,
EERO,Bedfordshire,Marsh tit,0.004,48,0.33,
EERO,Bedfordshire,Mistle thrush,0.004,49,0.37,
EERO,Bedfordshire,Grey wagtail,0.003,50,0.28,
EERO,Bedfordshire,Chiffchaff,0.002,51,0.14,
EERO,Bedfordshire,Grey heron,0.002,52,0.23,
EERO,Bedfordshire,Red legged partridge,0.002,53,0.14,
EERO,Bedfordshire,Grey partridge,0.002,54,0.05,
