SRC_ID,LATITUDE,LONGITUDE,SITE_ELEVATION,SITE_NAME
1035,54.925755,-3.949729,73,Threave
1039,54.85902,-4.93414,11,West Freugh
1046,54.08507,-4.6307,16,Ronaldsway
1055,54.51765,-3.61345,124,St Bees Head No 2
1060,54.61386,-3.15525,81,Keswick
1067,54.61971,-3.07912,250,Blencathra
1070,54.93422,-2.96223,28,Carlisle
1073,54.6699,-2.78644,169,Newton Rigg
1074,54.57232,-2.41172,227,Warcop Range
1076,55.05013,-2.55297,285,Spadeadam No 2
1078,54.12474,-3.25657,15,Walney Island
1080,54.25873,-2.77706,7,Levens Hall
1083,54.50196,-2.68347,252,Shap
1085,54.68391,-2.44986,847,Great Dun Fell No 2
1090,53.77422,-3.03799,10,Blackpool Squires Gate
1111,53.77403,-2.70337,33,Preston Moor Park
1112,53.85361,-2.76541,14,Myerscough
1119,53.84487,-2.46847,115,Stonyhurst
1125,53.6085,-2.17709,110,Rochdale
1132,53.086,-2.52465,40,Nantwich Reaseheath Hall
1137,53.25905,-3.50754,77,Rhyl No 2
1144,53.1745,-2.98605,10,Hawarden Airport
1145,53.25238,-4.53524,11.45,Valley
1161,52.78858,-4.74026,95,Aberdaron
1166,52.91426,-4.15683,7,Porthmadog
1171,53.09389,-3.94016,216,Capel Curig No 3
1180,52.90728,-3.58303,164,Bala
1190,52.75701,-3.46411,360,Lake Vyrnwy No 2
1198,52.13914,-4.56999,133,Aberporth
1204,52.27192,-3.9158857,168,Swyddffynnon
1205,52.43193,-4.01929,31,Gogerddan
1209,52.34395,-3.94683,63,Trawsgoed
1215,51.70841,-5.05229,44,Milford Haven Conservancy Board
1221,51.8593,-4.92046,75,Scolton Country Park
1223,51.98827,-4.67792,129,Whitechurch
1226,51.71402,-4.36632,6.78,Pembrey Sands
1238,52.21528,-3.45029,196,Llysdinam
1249,51.92402,-3.48781,331,Libanus
1255,51.56513,-3.98056,43,Mumbles Head
1265,53.0,-5.0,95,Ground Anchor Test Site
1272,51.48783,-3.18728,9,Cardiff Bute Park
1276,51.78338,-3.2667,360,Tredegar Bryn Bach Park No 2
1285,51.08636,-3.60775,348,Liscombe
1302,51.00586,-2.64148,19.4,Yeovilton
1319,50.52156,-2.45431,52,Isle of Portland
1326,50.61311,-1.95737,10,Swanage
1336,50.35435,-4.11986,50.6,Plymouth Mountbatten
1345,50.70293,-3.97634,408,Okehampton East Okement Farm
1346,51.08865,-4.14743,6,Chivenor
1352,50.76819,-3.90277,177,North Wyke
1367,50.39888,-3.48284,58,Berry Head
1378,50.73661,-3.40458,27,Exeter Airport
1383,50.85969,-3.2389,252,Dunkeswell Aerodrome
1386,49.91404,-6.29488,31,Scilly St Marys Airport
1393,50.0838,-5.25609,76,Culdrose
1395,50.21782,-5.32656,87.02,Camborne
1415,50.5016,-4.66579,200,Cardinham Bodmin
1418,50.8279,-4.54483,15,Bude
1431,54.88557,-6.96549,214,Banagher Caugh Hill
1435,54.72106,-6.81376,225,Lough Fea
1448,54.86529,-6.45686,64,Portglenone
1450,54.66357,-6.22436,63,Aldergrove
1452,55.04782,-6.25433,227,Altnahinch Filters
1467,55.18062,-6.15336,156,Ballypatrick Forest
1488,54.07668,-6.18303,4,Killowen
1502,54.24504,-5.83066,12,Murlough
1504,54.29661,-6.11019,91,Katesbridge
1507,54.60283,-5.82859,56,Stormont Castle
1517,54.57209,-5.65603,6,Ballywatticock
1523,54.66857,-5.74742,43,Helens Bay
1529,54.67357,-5.58298,35,Orlock Head
1534,54.23711,-6.50256,161,Glenanne No 2
1543,54.70703,-7.57668,49,Castlederg
1575,49.208,-2.196,85,Jersey Airport
1585,36.15267,-5.348369,5,Gibraltar, North Front
1588,34.583,32.983,26,Akrotiri Cyprus
1603,-7.967,-14.4,76.8,Ascension Island Airfield
1605,-15.942206,-5.667,436,St Helena Bottoms Wood
1609,-51.82017,-58.448174,69.51,Mount Pleasant Falkland Islands
3320,-29.621222,24.11499,100,South Africa
4306,50.85969,-32389.0,252,Reach 7
4911,52.67808,1.28133,32,Norwich Airport
6182,51.506737,-0.642807,22,Cippenham S Wks
6313,51.398514,-0.495202,12,Chertsey, Abbey Mead P Sta
7085,50.733,-3.475,35,Reach 5
7102,50.733,-3.475,35,Reach 6
9525,53.38101,-1.48986,131,Sheffield SUN
9861,52.8755,-2.535486,83,Ternhill
9999,60.13946,-1.18299,82,Lerwick PRS No 2
10268,51.94753,-1.95271,112,Winchcombe Sudeley Castle
13343,54.740772,-4.957823,30,Logan Botanic Garden
14093,57.1816,-5.37346,15,Achnagart
16031,55.529885,-1.918325,70,Chillingham Barns
16588,51.46398,0.31301,3,Gravesend, Broadness
16589,55.28501,-2.2779,211,Redesdale Camp
16596,54.20454,-1.38856,25,Topcliffe
16611,52.0629,-3.61341,307,Sennybridge No 2
16725,53.08802,0.27265,3,Wainfleet No 2
16769,50.9376,-0.49148,28,Wiggonholt
16851,54.0761,-2.85825,7,Morecambe No 2
17176,51.68133,-0.80528,204,High Wycombe, HQAIR
17224,50.66154,-1.58258,80,Wight Needles Old Battery
17309,53.49701,-3.0563,9,Crosby
17314,54.29682,-1.53145,33,Leeming
17336,56.42351,-4.31873,564,Glen Ogle
17344,54.5627,-0.86188,158,Loftus
18903,57.35782,-7.38385,4,South Uist Range
18907,52.96131,-0.559455,118.6,Barkston Heath Airfield
18915,52.640247,-2.310433,83,Cosford
18974,56.49999,-6.8796,13,Tiree
19159,51.51963,-1.54745,142,Upper Lambourn
19172,57.25718,-5.80418,18,Skye Lusa
19187,52.47975,-1.68925,96,Coleshill
19188,51.89568,0.45225,87,Andrewsfield
19192,54.8175,-6.00326,257,Killylane
19203,54.64898,-3.45812,49,Bridgefoot
19204,53.40589,-0.88265,68,Gringley on the Hill
19206,51.40497,-3.43952,49,St Athan
19211,57.78027,-6.89629,13,Harris Quidnish
19232,50.733,-3.475,35,Reach 4
19260,55.92838,-3.34294,57,Edinburgh Gogarbank
23417,55.68132,-6.24866,13.95,Islay Port Ellen
23442,50.733,-3.475,35,Reach 3
23450,51.06459,0.0339,200,Wych Cross
24102,52.42406,-1.53498,119,Coventry
24103,54.18912,-7.56057,68,Derrylin Cornahoule
24125,55.9068,-4.53122,59,Glasgow, Bishopton
24996,52.07964,-2.80102,76,Hereford, Credenhill
24998,51.441555,-2.283462,178,Colerne
25069,53.58211,-3.05167,11,Woodvale
25726,54.0702,-1.76995,259,Pateley Bridge Ravens Nest
25727,50.89182,-1.39361,26,Southampton, Oceanography Centre
30270,57.41813,-5.68744,773,Bealach Na Ba No 2
30476,52.82367,0.65408,65,Houghton Hall
30523,55.01972,-1.88012,142,Albemarle
30529,52.62285,-1.394,129,Market Bosworth Bosworth Park
30620,51.14352,-0.22786,67,Charlwood
30690,53.12755,-1.97993,298,Leek, Thorncliffe
30750,54.47142,-1.78341,120,Ravensworth
55827,57.01085,-3.39576,327,Braemar No 2
56216,58.0637,-5.01493,133,Resallach
56424,52.4560,-1.92619,140,Winterbourne No 2
56451,57.15605,-5.18103,223,Cluanie Inn No 3
56454,56.066,-4.863,170,HMNB Clyde
56465,51.607,-3.981,32,Swansea University
56486,53.25979,-4.37492,60,Mona
56723,51.8062,-0.35858,128,Reach 1
56724,50.128,-5.327,87,Reach 2
56726,53.808,-1.599,85,Leeds University
56810,34.933,32.867,1949,Mount Olympus
56904,51.1512,0.59737,38,Frittenden
56922,53.4437,-2.21211,45,Manchester University
56937,55.2344,-6.51112,80,Giants Causeway
56939,51.7138,-2.92184,25,Usk No 2
56950,52.4805,-1.90493,139,Birmingham University
56958,53.6118,-1.66698,267,Emley Moor No 2
56962,50.836,-1.168,1,Gosport, Fleetlands
56963,55.1603,-6.94835,6,Magilligan No 2
56973,53.7465,-0.37088,2,Hull, West Park
56986,53.7655,-0.29638,2,Hull, East Park
57063,54.3295,-7.59413,72,Thomastown
57093,52.04169,-1.0132293,145,Stowe
57094,51.4765739,-0.4420759,25,H27RTDZ
57096,51.4634246,-0.4451580,25,H27LTDZ
57097,51.4766311,-0.4827300,25,H09LTDZ
57098,51.463886,-0.480556,25,H09RTDZ
57099,51.4768295,-0.4615499,25,H27R09LMID
57100,51.4636421,-0.4618209,25,H27L09RMID
57192,36.15289,-5.34119,5,Gibraltar, East
57193,36.152317,-5.357415,5,Gibraltar, West
57199,53.3597,-2.38065,35,Rostherne No 2
57231,36.133503,-5.364005,4,Gibraltar, South Mole
57247,50.780132,-1.4198271,5,North Solent NNR
57250,50.035995,-5.1992564,90,The Lizard NNR
57254,55.30205,-2.50557,450,Kielderhead Moor NNR
57259,50.961,-2.93344,30,Merryfield
57296,51.201138,-3.201865,35,Lilstock Range
57297,51.230804,-1.9453406,120,Westdown Camp
57298,36.143917,-5.342892,426,Gibraltar, Rock Gun
