ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
2015-11-01 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 12, 6.6, 5, 6.4, 1, 1, 1, 1, 2015-11-01 08:55, 0, , , ,
2015-11-01 09:00, DCNN, 4044, 24, 1, DLY3208, 2710, 1011, 15, 7.8, 5.6, , 1, 1, 1, , 2015-11-11 14:11, 0, , , ,
2015-11-01 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 11.5, 9, 6, , 6, 6, 6, , 2015-11-01 09:06, 0, , , ,
2015-11-01 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 12.4, 7, 5.5, , 1, 1, 1, , 2015-11-01 08:57, 0, , , ,
2015-11-01 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 11.7, 8.5, 5.6, , 6, 6, 6, , 2015-11-01 09:03, 0, , , ,
2015-11-01 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 10.4, 7.4, 5.4, 6.7, 6, 6, 6, 6, 2015-11-01 08:58, 0, , , ,
2015-11-01 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 18.2, 9.1, , , 1, 1, , , 2015-11-01 21:00, 0, , , ,
2015-11-01 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 18.3, 9.3, , , 6, 6, , , 2015-11-01 21:02, 0, , , ,
2015-11-01 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 18.5, 9.3, , , 1, 1, , , 2015-11-01 20:58, 0, , , ,
2015-11-01 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 17.1, 8.5, , , 6, 6, , , 2015-11-01 21:02, 0, , , ,
2015-11-01 21:00, DCNN, 4077, 12, 0, AWSDLY, 534, 1012, 12.8, 9.4, , , 1, 151, , , 2015-11-01 20:57, 0, , , ,
2015-11-01 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 12.8, 9.3, , , 6, 1006, , , 2015-11-01 20:57, 0, , , ,
2015-11-02 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 9.7, 3.4, 1.1, 2.7, 1, 1, 1, 1, 2015-11-02 08:56, 0, , , ,
2015-11-02 09:00, DCNN, 4044, 24, 1, DLY3208, 2710, 1011, 18.7, 7.8, 5.8, , 1, 1, 1, , 2015-11-11 14:14, 0, , , ,
2015-11-02 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 10.3, 7.1, 6.7, , 6, 6, 6, , 2015-11-02 09:03, 0, , , ,
2015-11-02 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 12.2, 6.3, 3.4, , 1, 1, 1, , 2015-11-02 09:03, 0, , , ,
2015-11-02 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 10.4, 6.1, 5.9, , 6, 6, 6, , 2015-11-02 09:02, 0, , , ,
2015-11-02 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 9.6, 8.4, 8.6, 9.2, 6, 6, 6, 6, 2015-11-02 08:57, 0, , , ,
2015-11-02 21:00, DCNN, 4036, 12, 0, NCM, 513, 1012, 11.9, 6.6, , , 1, 151, , , 2015-11-02 20:57, 0, , , ,
2015-11-02 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 11.9, 6.3, , , 1, 1501, , , 2015-11-02 20:57, 0, , , ,
2015-11-02 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 10, 7.2, , , 6, 6, , , 2015-11-02 21:05, 0, , , ,
2015-11-02 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 11.3, 7.2, , , 1, 1, , , 2015-11-02 20:59, 0, , , ,
2015-11-02 21:00, DCNN, 4065, 12, 0, AWSDLY, 529, 1012, 10.2, 7.2, , , 1, 151, , , 2015-11-02 21:02, 0, , , ,
2015-11-02 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 10.2, 7.1, , , 6, 1006, , , 2015-11-02 21:02, 0, , , ,
2015-11-02 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 9.7, 7.8, , , 6, 6, , , 2015-11-02 20:57, 0, , , ,
2015-11-03 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 6.7, 3.8, 2, 4.2, 1, 1, 1, 1, 2015-11-03 08:56, 0, , , ,
2015-11-03 09:00, DCNN, 4044, 24, 1, DLY3208, 2710, 1011, 15.5, 5.7, 4.6, , 1, 1, 1, , 2015-11-11 14:17, 0, , , ,
2015-11-03 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 8.7, 5.3, 5.6, , 6, 6, 6, , 2015-11-03 09:02, 0, , , ,
2015-11-03 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 7.2, 3.9, 4.2, , 1, 1, 1, , 2015-11-03 08:58, 0, , , ,
2015-11-03 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 7.7, 6.4, 6.6, , 6, 6, 6, , 2015-11-03 09:02, 0, , , ,
2015-11-03 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 8.6, 6.4, 6.8, 7.6, 6, 6, 6, 6, 2015-11-03 08:58, 0, , , ,
2015-11-03 21:00, DCNN, 4036, 12, 0, NCM, 513, 1012, 7.9, 5.7, , , 1, 151, , , 2015-11-03 20:58, 0, , , ,
2015-11-03 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 7.9, 5.6, , , 1, 1501, , , 2015-11-03 20:58, 0, , , ,
2015-11-03 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 8.7, 6.5, , , 6, 6, , , 2015-11-03 21:02, 0, , , ,
2015-11-03 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 7.9, 5.5, , , 1, 1, , , 2015-11-03 20:58, 0, , , ,
2015-11-03 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 9.1, 7.5, , , 6, 6, , , 2015-11-03 21:01, 0, , , ,
2015-11-03 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 8.9, 7.5, , , 6, 6, , , 2015-11-03 21:00, 0, , , ,
2015-11-04 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 8.8, 7.8, 7.7, 8.2, 1, 1, 1, 1, 2015-11-04 08:56, 0, , , ,
2015-11-04 09:00, DCNN, 4044, 24, 1, DLY3208, 2710, 1011, 14.8, 6.9, 4.7, , 1, 1, 1, , 2015-11-11 14:18, 0, , , ,
2015-11-04 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 9.5, 8.5, 8.4, , 6, 6, 6, , 2015-11-04 09:02, 0, , , ,
2015-11-04 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 8.6, 7.6, 6.8, , 1, 1, 1, , 2015-11-04 08:56, 0, , , ,
2015-11-04 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 9.7, 8.7, 8.6, , 6, 6, 6, , 2015-11-04 09:02, 0, , , ,
2015-11-04 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 9.6, 8.7, 8.7, 9.1, 6, 6, 6, 6, 2015-11-04 08:58, 0, , , ,
2015-11-04 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 10.4, 7.1, , , 1, 1, , , 2015-11-04 20:54, 0, , , ,
2015-11-04 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 11.4, 9.3, , , 6, 6, , , 2015-11-04 21:02, 0, , , ,
2015-11-04 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 11.1, 8.5, , , 1, 1, , , 2015-11-04 20:57, 0, , , ,
2015-11-04 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 12.7, 9.7, , , 6, 6, , , 2015-11-04 21:02, 0, , , ,
2015-11-04 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 12, 9.6, , , 6, 6, , , 2015-11-04 20:58, 0, , , ,
2015-11-05 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 10.7, 8.7, 5.2, 6.9, 1, 1, 1, 1, 2015-11-05 08:53, 0, , , ,
2015-11-05 09:00, DCNN, 4044, 24, 1, DLY3208, 2710, 1011, 13.7, 6.7, 5.3, , 1, 1, 1, , 2015-11-11 14:20, 0, , , ,
2015-11-05 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 11.4, 8.1, 4.7, , 6, 6, 6, , 2015-11-05 09:04, 0, , , ,
2015-11-05 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 11, 9, 7.3, , 1, 1, 1, , 2015-11-05 08:58, 0, , , ,
2015-11-05 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 11.6, 8.3, 2.9, , 6, 6, 6, , 2015-11-05 09:02, 0, , , ,
2015-11-05 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 10.9, 8.3, 4, 6.3, 6, 6, 6, 6, 2015-11-05 08:57, 0, , , ,
2015-11-05 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 13.2, 9.8, , , 1, 1, , , 2015-11-05 20:54, 0, , , ,
2015-11-05 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 13.7, 10.2, , , 6, 6, , , 2015-11-05 21:02, 0, , , ,
2015-11-05 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 13.5, 10.7, , , 1, 1, , , 2015-11-05 20:56, 0, , , ,
2015-11-05 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 14.4, 11.6, , , 6, 6, , , 2015-11-05 21:02, 0, , , ,
2015-11-05 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 14, 10.9, , , 6, 6, , , 2015-11-05 20:57, 0, , , ,
2015-11-06 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 12.7, 11, 10.2, 9.9, 1, 1, 1, 1, 2015-11-06 08:54, 0, , , ,
2015-11-06 09:00, DCNN, 4044, 24, 1, DLY3208, 2710, 1011, 15.5, 11.1, 5.2, , 1, 1, 1, , 2015-11-11 14:22, 0, , , ,
2015-11-06 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 13.5, 11.7, 10.9, , 6, 6, 6, , 2015-11-06 09:03, 0, , , ,
2015-11-06 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 13, 11, 9.9, , 1, 1, 1, , 2015-11-06 08:58, 0, , , ,
2015-11-06 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 14, 11.5, 8.7, , 6, 6, 6, , 2015-11-06 09:03, 0, , , ,
2015-11-06 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 13.6, 11, 9, 9.6, 6, 6, 6, 6, 2015-11-06 08:57, 0, , , ,
2015-11-06 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 14.2, 11.1, , , 1, 1, , , 2015-11-06 20:55, 0, , , ,
2015-11-06 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 15.4, 11.7, , , 6, 6, , , 2015-11-06 21:02, 0, , , ,
2015-11-06 21:00, DCNN, 4058, 12, 0, NCM, 56958, 1012, 13.3, 11.4, , , 2001, 2001, , , 2015-11-10 14:51, 0, , , ,
2015-11-06 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1022, 14.8, 11.4, , , 2301, 2001, , , 2015-11-11 09:15, 0, , , ,
2015-11-06 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 16.6, 12, , , 6, 6, , , 2015-11-06 21:03, 0, , , ,
2015-11-06 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 16.2, 12.2, , , 6, 6, , , 2015-11-06 20:57, 0, , , ,
2015-11-07 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 11.7, 9.1, 7.6, 7.3, 1, 1, 1, 1, 2015-11-07 08:56, 0, , , ,
2015-11-07 09:00, DCNN, 4044, 24, 1, DLY3208, 2710, 1011, 17.1, 10, 7.8, , 1, 1, 1, , 2015-11-11 14:24, 0, , , ,
2015-11-07 09:00, DCNN, 4045, 12, 0, AWSDLY, 516, 1012, 12.5, 10, 6.8, , 151, 1, 1, , 2015-11-07 09:03, 0, , , ,
2015-11-07 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 12.6, 10, 6.8, , 1006, 6, 6, , 2015-11-07 09:03, 0, , , ,
2015-11-07 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 12.1, 9.3, 8.2, , 1, 1, 1, , 2015-11-07 08:58, 0, , , ,
2015-11-07 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 13.8, 10, 5.6, , 6, 6, 6, , 2015-11-07 09:03, 0, , , ,
2015-11-07 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 13.7, 9.2, 7.7, 7.5, 6, 6, 6, 6, 2015-11-07 08:57, 0, , , ,
2015-11-07 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 14.8, 8.5, , , 1, 1, , , 2015-11-07 20:56, 0, , , ,
2015-11-07 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 16, 9.5, , , 6, 6, , , 2015-11-07 21:03, 0, , , ,
2015-11-07 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 15.3, 8.6, , , 1, 1, , , 2015-11-07 20:59, 0, , , ,
2015-11-07 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 17.6, 10.3, , , 6, 6, , , 2015-11-07 21:02, 0, , , ,
2015-11-07 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 17.1, 9.9, , , 6, 6, , , 2015-11-07 20:58, 0, , , ,
2015-11-08 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 8.8, 5, 2.3, 3.9, 1, 1, 1, 1, 2015-11-08 08:54, 0, , , ,
2015-11-08 09:00, DCNN, 4044, 24, 1, DLY3208, 2710, 1011, 17.2, 6.8, 3.8, , 1, 1, 1, , 2015-11-11 14:32, 0, , , ,
2015-11-08 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 10.1, 6.4, 2.3, , 6, 6, 6, , 2015-11-08 09:03, 0, , , ,
2015-11-08 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 9.1, 6, 4.7, , 1, 1, 1, , 2015-11-08 08:58, 0, , , ,
2015-11-08 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 10.5, 6.5, 2.7, , 6, 6, 6, , 2015-11-08 09:02, 0, , , ,
2015-11-08 09:00, DCNN, 4077, 12, 0, AWSDLY, 534, 1012, 10.1, 6.3, 3.8, 5.1, 151, 1, 1, 1, 2015-11-08 08:57, 0, , , ,
2015-11-08 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 10.2, 6.3, 3.8, 5.1, 1006, 6, 6, 6, 2015-11-08 08:57, 0, , , ,
2015-11-08 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 13.9, 7.6, , , 1, 1, , , 2015-11-08 20:56, 0, , , ,
2015-11-08 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 15.2, 7.3, , , 6, 6, , , 2015-11-08 21:02, 0, , , ,
2015-11-08 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 14.6, 8.1, , , 1, 1, , , 2015-11-08 20:58, 0, , , ,
2015-11-08 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 15.4, 8.8, , , 6, 6, , , 2015-11-08 21:02, 0, , , ,
2015-11-08 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 15.2, 7.1, , , 6, 6, , , 2015-11-08 20:57, 0, , , ,
2015-11-09 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 9.1, 5.6, 4.2, 3.7, 1, 1, 1, 1, 2015-11-09 08:56, 0, , , ,
2015-11-09 09:00, DCNN, 4044, 24, 1, DLY3208, 2710, 1011, 17.5, 7.4, 3.8, , 1, 1, 1, , 2015-11-11 14:35, 0, , , ,
2015-11-09 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 9.9, 6.7, 2.8, , 6, 6, 6, , 2015-11-09 09:03, 0, , , ,
2015-11-09 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 9.1, 6.1, 5, , 1, 1, 1, , 2015-11-10 12:07, 0, , , ,
2015-11-09 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 11.4, 6.4, 3.7, , 6, 6, 6, , 2015-11-09 09:02, 0, , , ,
2015-11-09 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 10.9, 6.8, 4.4, 4.4, 6, 6, 6, 6, 2015-11-09 08:58, 0, , , ,
2015-11-09 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 14, 9.1, , , 1, 1, , , 2015-11-09 20:55, 0, , , ,
2015-11-09 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 15, 9.9, , , 6, 6, , , 2015-11-09 21:02, 0, , , ,
2015-11-09 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 14.3, 9, , , 1, 1, , , 2015-11-10 12:16, 0, , , ,
2015-11-09 21:00, DCNN, 4065, 12, 0, AWSDLY, 529, 1012, 15.8, 11.5, , , 1, 151, , , 2015-11-09 21:04, 0, , , ,
